Virgina's Tuna Salad,40,4 servings,"['1 egg', '1 (5 ounce) can tuna, drained and flaked', '3 tablespoons mayonnaise', '2 stalks celery, chopped', '2 tablespoons sweet pickle relish', '1 pinch ground black pepper']","Place egg in a saucepan and cover with cold water. Bring water to a boil and immediately remove from heat. Cover and let egg stand in hot water for 10 to 12 minutes. Remove from hot water; cool for 5 minutes. Peel and chop into bite-sized pieces.
In a medium bowl, mix together tuna and mayonnaise. Mix in egg, celery, relish, and black pepper.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F44694.jpg,allrecipes.com
Spicy Grilled Cheese Sandwich,5,2 sandwiches,"['2 tablespoons butter or margarine', '4 slices white bread', '2 slices American cheese', '1 roma (plum) tomato, thinly sliced', '¼ small onion, chopped', '1 jalapeno pepper, chopped']","Heat a large skillet over low heat. Spread butter or margarine onto one side of two slices of bread. Place both pieces buttered side down in the skillet. Lay a slice of cheese on each one, and top with slices of tomato, onion and jalapeno. Butter one side of the remaining slices of bread, and place on top buttered side up. When the bottom of the sandwiches are toasted, flip and fry until brown on the other side.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5081856.jpg,allrecipes.com
Chicago-Inspired Italian Beef Sandwich,85,4 sandwiches,"['1 ½ pounds boneless beef chuck, cut into 2-inch pieces', 'salt and ground black pepper to taste', '1 tablespoon vegetable oil', '6 cloves garlic, sliced', '2 tablespoons white vinegar', '1 tablespoon dried oregano', '1 ½ teaspoons salt, or to taste', '1 teaspoon dried thyme', '1 teaspoon dried rosemary', '1 teaspoon freshly ground black pepper', '1 bay leaf', '¼ teaspoon red pepper flakes, or to taste', '3 cups chicken broth, or as needed', '4 roll (blank)s ciabatta rolls, sliced in half', '1 cup chopped giardiniera (pickled Italian vegetables)', '2 teaspoons chopped fresh flat-leaf parsley']","Season beef with a pinch of salt and black pepper. Heat vegetable oil in a heavy pot over high heat. Cook and stir beef in hot oil until browned, 5 to 8 minutes.
Stir garlic, vinegar, oregano, 1 1/2 teaspoons salt, thyme, rosemary, 1 teaspoon black pepper, bay leaf, and red pepper flakes into beef. Pour enough chicken broth into beef mixture to cover the meat by 1 inch and bring to a simmer.
Cover pot with a lid, reduce heat to low, and simmer until meat is fork-tender, 1 to 1 1/2 hours.
Transfer meat with a strainer or slotted spoon to a separate pot; pour about 1/4 cup of meat broth into pot. Use a wooden spoon to gently break meat into smaller chunks. Cover pot with a lid or aluminum foil and keep warm.
Skim excess grease from top of broth remaining in the first pot; season with salt and pepper to taste. Cover pot with a lid or aluminum foil and keep broth warm.
Lay halves of a roll out on a work surface and spoon 2 to 3 tablespoons meat broth over each half. Top bottom half of roll with a generous portion of meat and a spoonful of pickled vegetables. Place tops on sandwich. Repeat with remaining buns, broth, meat, and pickled vegetables to make 3 more sandwiches.
Spoon hot meat broth into ramekins and top each ramekin with 1/2 teaspoon parsley. Serve sandwiches with hot broth for dipping.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1100724.jpg,allrecipes.com
Basic Italian Bean Soup,25,4 servings,"['olive oil', '1 large onion, diced', '2 cloves garlic, or more to taste', '2 cups tomato sauce', '24 ounces prepared cannellini beans', '1 tablespoon dried basil', '½ teaspoon oregano', 'salt and ground black pepper to taste']","Heat olive oil in a pot over medium-high heat. Cook and stir onion in hot oil until tender, about 5 minutes; add garlic and continue cooking until fragrant, 1 to 2 minutes more.
Pour tomato sauce into the pot; stir. Add cannelini beans, basil, oregano, salt, and pepper. Bring the mixture to a simmer, reduce heat to medium-low, and cook until the beans are hot, 5 to 7 minutes more.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1938306.jpg,allrecipes.com
Cobb Salad,50,6 servings,"['6 slices bacon', '3 large eggs eggs', '1 head iceberg lettuce, shredded', '3 cups chopped, cooked chicken meat', '2 medium whole (2-3/5"" dia) (blank)s tomatoes, seeded and chopped', '¾ cup blue cheese, crumbled', '1 avocado - peeled, pitted and diced', '3 medium (4-1/8"" long)s green onions, chopped', '1 (8 ounce) bottle Ranch-style salad dressing']","Place eggs in a saucepan and cover completely with cold water. Bring water to a boil. Cover, remove from heat, and let eggs stand in hot water for 10 to 12 minutes. Remove from hot water, cool, peel and chop.
Place bacon in a large, deep skillet. Cook over medium high heat until evenly brown. Drain, crumble and set aside.
Divide shredded lettuce among individual plates.
Evenly divide and arrange chicken, eggs, tomatoes, blue cheese, bacon, avocado and green onions in a row on top of the lettuce.
Drizzle with your favorite dressing and enjoy.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2369484.jpg,allrecipes.com
Banh Mi,50,1 sandwich,"['½ cup rice vinegar', '¼ cup water', '¼ cup white sugar', '¼ cup carrot, cut into 1/16-inch-thick matchsticks', '¼ cup white (daikon) radish, cut into 1/16-inch-thick matchsticks', '¼ cup thinly sliced white onion', '1 skinless, boneless chicken breast half', 'garlic salt to taste', 'ground black pepper to taste', '1 (12 inch) French baguette', '4 tablespoons mayonnaise', '¼ cup thinly sliced cucumber', '1 tablespoon fresh cilantro leaves', '1 small jalapeno pepper - seeded and cut into 1/16-inch-thick matchsticks', '1 wedge lime']","Place rice vinegar, water, and sugar into a saucepan over medium heat, bring to a boil, and stir until the sugar has dissolved, about 1 minute. Allow the mixture to cool.
Pour the cooled vinegar mixture over the carrot, radish, and onion in a bowl, and allow to stand for at least 30 minutes. Drain off the excess vinegar mixture after the vegetables have marinated.
While the vegetables are marinating, preheat the oven's broiler, and set the oven rack about 6 inches from the heat source. Lightly oil a slotted broiler pan.
Sprinkle the chicken breast with garlic salt and pepper, and broil on slotted broiler pan, turning once, until the center of the chicken breast is no longer pink and the surface has browned, about 6 minutes per side. Remove the broiled chicken, and slice into bite-size pieces.
Slice the baguette in half the long way, and pull the center of the bread out of the baguette halves, leaving a cavity for the filling. Place the baguette halves under the broiler to lightly toast, 2 to 3 minutes.
To assemble the bahn mi sandwich, spread each half of the toasted baguette with mayonnaise, and fill the cavity of the bottom half of the bread with broiled chicken, cucumber slices, pickled carrot, onion, and radish, cilantro leaves, and jalapeno pepper. Squeeze a wedge of lime over the filling, and top with the other half of the baguette.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1039590.jpg,allrecipes.com
Grilled Chicken Salad Sandwich,15,4 sandwiches,"['1 cup mayonnaise', '⅛ teaspoon ground black pepper', '⅛ teaspoon garlic powder', '⅛ teaspoon celery salt', '4 cups chopped leftover grilled chicken', '2 stalk (blank)s celery stalks, sliced', '½ cup sweetened dried cranberries', '⅔ cup salted cashews', '8 slices bread, toasted', '4 tablespoons mayonnaise', '4 leaf (blank)s large red leaf lettuce leaves', '1 ripe tomato, sliced']","Whisk together 1 cup of mayonnaise, pepper, garlic powder, and celery salt until combined. Combine the chicken, celery, cranberries, and cashews in a large bowl. Pour the mayonnaise mixture over the chicken mixture and stir until evenly combined.
Spread 1/2 tablespoon of mayonnaise on each slice of toasted bread. Divide the chicken salad between four of the slices of toast; top each with a lettuce leaf and a slice of tomato. Complete each sandwich with the remaining toast slices.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1313977.jpg,allrecipes.com
Vegetarian Chickpea Sandwich Filling,20,2 to 3 servings,"['1 (19 ounce) can garbanzo beans, drained and rinsed', '1 stalk celery, chopped', '½ onion, chopped', '1 tablespoon mayonnaise', '1 tablespoon lemon juice', '1 teaspoon dried dill weed', 'salt and pepper to taste']","Drain and rinse chickpeas. Pour chickpeas into a medium size mixing bowl and mash with a fork. Mix in celery, onion, mayonnaise (to taste), lemon juice, dill, salt and pepper to taste.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F362677.jpg,allrecipes.com
Slow Cooker Texas Pulled Pork,315,8 sandwiches,"['1 teaspoon vegetable oil', '1 (4 pound) pork shoulder roast', '1 cup barbeque sauce', '½ cup apple cider vinegar', '½ cup chicken broth', '¼ cup light brown sugar', '1 tablespoon prepared yellow mustard', '1 tablespoon Worcestershire sauce', '1 tablespoon chili powder', '1 extra large onion, chopped', '2 large cloves garlic, crushed', '1 ½ teaspoons dried thyme', '8 eaches hamburger buns, split', '2 tablespoons butter, or as needed']","Pour the vegetable oil into the bottom of a slow cooker. Place the pork roast into the slow cooker; pour in the barbecue sauce, apple cider vinegar, and chicken broth. Stir in the brown sugar, yellow mustard, Worcestershire sauce, chili powder, onion, garlic, and thyme. Cover and cook on High until the roast shreds easily with a fork, 5 to 6 hours.
Remove the roast from the slow cooker, and shred the meat using two forks. Return the shredded pork to the slow cooker, and stir the meat into the juices.
Spread the inside of both halves of hamburger buns with butter. Toast the buns, butter side down, in a skillet over medium heat until golden brown. Spoon pork into the toasted buns.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4560053.jpg,allrecipes.com
Delicious Egg Salad for Sandwiches,35,4 servings,"['8 large eggs eggs', '½ cup mayonnaise', '1 teaspoon prepared yellow mustard', '¼ cup chopped green onion', 'salt and pepper to taste', '¼ teaspoon paprika']","Place egg in a saucepan and cover with cold water. Bring water to a boil and immediately remove from heat. Cover and let eggs stand in hot water for 10 to 12 minutes. Remove from hot water, cool, peel and chop.
Place the chopped eggs in a bowl, and stir in the mayonnaise, mustard and green onion. Season with salt, pepper and paprika. Stir and serve on your favorite bread or crackers.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F191517.jpg,allrecipes.com
